Zeit Kanal A
(ms) (mV)
-40.81665000 3.56151000
-40.79617000 2.66426600
-40.77569000 3.56151000
-40.75521000 3.56151000
-40.73473000 3.56151000
-40.71425000 4.46180600
-40.69377000 3.56151000
-40.67329000 3.56151000
-40.65281000 3.56151000
-40.63233000 3.56151000
-40.61185000 2.66426600
-40.59137000 3.56151000
-40.57089000 3.56151000
-40.55041000 2.66426600
-40.52993000 3.56151000
-40.50945000 2.66426600
-40.48896000 3.56151000
-40.46849000 2.66426600
-40.44801000 3.56151000
-40.42753000 2.66426600
-40.40705000 2.66426600
-40.38657000 3.56151000
-40.36609000 3.56151000
-40.34561000 3.56151000
-40.32513000 3.56151000
-40.30465000 2.66426600
-40.28417000 2.66426600
-40.26369000 3.56151000
-40.24321000 3.56151000
-40.22272000 3.56151000
-40.20225000 3.56151000
-40.18177000 3.56151000
-40.16129000 3.56151000
-40.14081000 1.76397000
-40.12033000 2.66426600
-40.09985000 2.66426600
-40.07936000 2.66426600
-40.05889000 3.56151000
-40.03841000 3.56151000
-40.01793000 3.56151000
-39.99745000 3.56151000
-39.97697000 3.56151000
-39.95649000 2.66426600
-39.93600000 3.56151000
-39.91553000 2.66426600
-39.89505000 3.56151000
-39.87457000 3.56151000
-39.85409000 3.56151000
-39.83361000 3.56151000
-39.81313000 3.56151000
-39.79265000 3.56151000
-39.77217000 2.66426600
-39.75169000 3.56151000
-39.73121000 3.56151000
-39.71073000 3.56151000
-39.69025000 3.56151000
-39.66977000 2.66426600
-39.64929000 2.66426600
-39.62881000 1.76397000
-39.60833000 2.66426600
-39.58785000 2.66426600
-39.56737000 2.66426600
-39.54689000 3.56151000
-39.52641000 2.66426600
-39.50593000 3.56151000
-39.48545000 2.66426600
-39.46497000 2.66426600
-39.44449000 1.76397000
-39.42401000 2.66426600
-39.40353000 2.66426600
-39.38305000 2.66426600
-39.36257000 3.56151000
-39.34209000 3.56151000
-39.32161000 7.15659000
-39.30113000 6.25629500
-39.28065000 6.25629500
-39.26017000 5.35905000
-39.23969000 5.35905000
-39.21921000 6.25629500
-39.19873000 5.35905000
-39.17825000 6.25629500
-39.15777000 5.35905000
-39.13729000 4.46180600
-39.11681000 3.56151000
-39.09633000 3.56151000
-39.07585000 3.56151000
-39.05537000 3.56151000
-39.03489000 3.56151000
-39.01441000 3.56151000
-38.99393000 3.56151000
-38.97345000 3.56151000
-38.95297000 3.56151000
-38.93249000 2.66426600
-38.91201000 3.56151000
-38.89153000 3.56151000
-38.87105000 3.56151000
-38.85057000 3.56151000
-38.83009000 2.66426600
-38.80961000 3.56151000
-38.78913000 3.56151000
-38.76865000 2.66426600
-38.74817000 1.76397000
-38.72768000 2.66426600
-38.70721000 3.56151000
-38.68673000 2.66426600
-38.66625000 3.56151000
-38.64577000 2.66426600
-38.62529000 2.66426600
-38.60481000 1.76397000
-38.58433000 2.66426600
-38.56385000 1.76397000
-38.54337000 3.56151000
-38.52289000 3.56151000
-38.50241000 2.66426600
-38.48193000 3.56151000
-38.46145000 3.56151000
-38.44097000 2.66426600
-38.42049000 1.76397000
-38.40001000 2.66426600
-38.37953000 3.56151000
-38.35905000 2.66426600
-38.33857000 3.56151000
-38.31808000 2.66426600
-38.29761000 2.66426600
-38.27713000 2.66426600
