Zeit,Kanal A,Kanal B
(ms),(mV),(V)

-4.64128600,2.46742200,-1.53733900
-4.64000600,2.91604400,-1.53733900
-4.63872600,2.91604400,-1.53733900
-4.63744600,2.46742200,-1.53733900
-4.63616600,1.57017700,-1.57261900
-4.63488600,1.57017700,-1.55497900
-4.63360600,1.57017700,-1.55497900
-4.63232600,1.57017700,-1.53733900
-4.63104600,2.01879900,-1.51963900
-4.62976600,2.91604400,-1.51963900
-4.62848600,2.91604400,-1.51963900
-4.62720600,3.36466600,-1.51963900
-4.62592600,3.36466600,-1.51963900
-4.62464600,3.36466600,-1.51963900
-4.62336600,3.36466600,-1.53733900
-4.62208600,2.91604400,-1.53733900
-4.62080600,2.91604400,-1.55497900
-4.61952600,2.46742200,-1.55497900
-4.61824600,2.46742200,-1.53733900
-4.61696600,2.46742200,-1.53733900
-4.61568600,2.46742200,-1.55497900
-4.61440600,2.46742200,-1.53733900
-4.61312600,2.46742200,-1.53733900
-4.61184600,2.91604400,-1.53733900
-4.61056600,2.46742200,-1.53733900
-4.60928600,2.46742200,-1.53733900
-4.60800600,2.46742200,-1.53733900
-4.60672600,2.91604400,-1.53733900
-4.60544600,2.91604400,-1.53733900
-4.60416600,2.91604400,-1.53733900
-4.60288600,2.46742200,-1.53733900
-4.60160600,2.91604400,-1.53733900
-4.60032600,3.81328800,-1.55497900
-4.59904600,1.57017700,-1.55497900
-4.59776600,1.57017700,-1.55497900
-4.59648600,1.57017700,-1.55497900
-4.59520600,1.57017700,-1.53733900
-4.59392600,2.91604400,-1.50199900
-4.59264600,2.91604400,-1.51963900
-4.59136600,3.36466600,-1.51963900
-4.59008600,3.36466600,-1.51963900
-4.58880600,3.36466600,-1.51963900
-4.58752600,3.36466600,-1.51963900
-4.58624600,3.36466600,-1.53733900
-4.58496600,2.91604400,-1.53733900
-4.58368600,2.46742200,-1.53733900
-4.58240600,2.46742200,-1.53733900
-4.58112600,2.46742200,-1.53733900
-4.57984600,2.46742200,-1.55497900
-4.57856600,2.46742200,-1.53733900
-4.57728600,2.46742200,-1.53733900
-4.57600600,2.91604400,-1.53733900
-4.57472600,2.91604400,-1.53733900
-4.57344600,2.46742200,-1.53733900
-4.57216600,2.91604400,-1.53733900
-4.57088600,2.46742200,-1.53733900
-4.56960600,2.46742200,-1.53733900
-4.56832600,2.91604400,-1.53733900
-4.56704600,2.91604400,-1.53733900
-4.56576600,2.46742200,-1.53733900
-4.56448600,2.91604400,-1.53733900
-4.56320600,2.01879900,-1.55497900
-4.56192600,2.01879900,-1.55497900
-4.56064600,1.57017700,-1.55497900
-4.55936600,1.57017700,-1.53733900
-4.55808600,2.46742200,-1.53733900
-4.55680600,3.36466600,-1.50199900
-4.55552600,2.91604400,-1.51963900
-4.55424600,3.36466600,-1.51963900
-4.55296600,3.36466600,-1.51963900
-4.55168600,3.36466600,-1.51963900
-4.55040600,3.36466600,-1.51963900
-4.54912600,2.91604400,-1.53733900
-4.54784600,2.91604400,-1.55497900
-4.54656600,2.46742200,-1.55497900
-4.54528600,2.46742200,-1.53733900
-4.54400600,2.91604400,-1.53733900
-4.54272600,2.46742200,-1.53733900
-4.54144600,2.46742200,-1.53733900
-4.54016600,2.46742200,-1.53733900
-4.53888600,2.46742200,-1.53733900
-4.53760600,2.91604400,-1.53733900
-4.53632600,2.46742200,-1.53733900
-4.53504600,2.91604400,-1.53733900
-4.53376600,2.46742200,-1.53733900
-4.53248600,2.46742200,-1.53733900
-4.53120600,2.91604400,-1.53733900
-4.52992600,2.91604400,-1.53733900
-4.52864600,2.46742200,-1.53733900
-4.52736600,2.46742200,-1.53733900
-4.52608600,1.57017700,-1.57261900
-4.52480600,1.57017700,-1.55497900
-4.52352600,1.57017700,-1.53733900
-4.52224600,2.01879900,-1.55497900
-4.52096600,2.91604400,-1.51963900
-4.51968600,2.91604400,-1.51963900
-4.51840600,2.91604400,-1.51963900
-4.51712700,3.36466600,-1.51963900
-4.51584600,3.36466600,-1.51963900
-4.51456600,3.36466600,-1.51963900
-4.51328600,2.91604400,-1.53733900
-4.51200600,2.91604400,-1.53733900
-4.51072600,2.91604400,-1.55497900
-4.50944600,2.46742200,-1.55497900
-4.50816600,2.46742200,-1.53733900
-4.50688600,2.46742200,-1.53733900
-4.50560600,2.46742200,-1.53733900
-4.50432600,2.91604400,-1.53733900
-4.50304600,2.46742200,-1.51963900
-4.50176600,2.46742200,-1.53733900
-4.50048600,2.91604400,-1.53733900
-4.49920700,2.46742200,-1.53733900
-4.49792600,2.46742200,-1.53733900
-4.49664600,2.46742200,-1.53733900
-4.49536600,2.46742200,-1.53733900
-4.49408600,2.91604400,-1.53733900
-4.49280600,2.91604400,-1.53733900
-4.49152600,2.91604400,-1.53733900
-4.49024600,1.57017700,-1.55497900
-4.48896600,2.01879900,-1.55497900
-4.48768600,1.57017700,-1.55497900
-4.48640600,1.57017700,-1.53733900
-4.48512600,2.46742200,-1.53733900
-4.48384600,2.91604400,-1.50199900
-4.48256600,2.91604400,-1.51963900
-4.48128600,3.36466600,-1.51963900
-4.48000600,3.36466600,-1.51963900
-4.47872600,3.36466600,-1.51963900
-4.47744600,3.36466600,-1.51963900
-4.47616600,2.91604400,-1.53733900
-4.47488600,2.91604400,-1.53733900
-4.47360600,2.91604400,-1.55497900
-4.47232600,2.91604400,-1.53733900
-4.47104600,2.91604400,-1.53733900
-4.46976600,2.46742200,-1.53733900
-4.46848600,2.46742200,-1.53733900
-4.46720600,2.91604400,-1.53733900
-4.46592600,2.91604400,-1.53733900
-4.46464600,2.91604400,-1.53733900
-4.46336600,2.46742200,-1.53733900
-4.46208600,2.91604400,-1.53733900
-4.46080600,2.91604400,-1.53733900
-4.45952600,2.91604400,-1.53733900
-4.45824600,2.91604400,-1.53733900
-4.45696600,2.91604400,-1.53733900
-4.45568600,2.46742200,-1.53733900
-4.45440600,2.91604400,-1.53733900
-4.45312600,1.57017700,-1.55497900
-4.45184600,1.57017700,-1.55497900
-4.45056600,1.57017700,-1.53733900
-4.44928600,1.57017700,-1.53733900
-4.44800600,2.91604400,-1.51963900
-4.44672600,2.91604400,-1.50199900
-4.44544600,2.91604400,-1.51963900
-4.44416600,3.36466600,-1.51963900
-4.44288600,3.36466600,-1.51963900
-4.44160700,3.36466600,-1.51963900
