Zeit Kanal A Kanal B
(ms) (mV) (V)
-40.32513000 1.57017700 -1.62559900
-40.30465000 2.46742200 -1.60795900
-40.28417000 2.91604400 -1.55497900
-40.26369000 2.91604400 -1.60795900
-40.24321000 2.91604400 -1.57261900
-40.22272000 2.91604400 -1.59025800
-40.20225000 2.91604400 -1.60795900
-40.18177000 2.91604400 -1.59025800
-40.16129000 2.46742200 -1.60795900
-40.14081000 1.57017700 -1.60795900
-40.12033000 2.91604400 -1.59025800
-40.09985000 2.91604400 -1.57261900
-40.07936000 2.91604400 -1.59025800
-40.05889000 3.36466600 -1.59025800
-40.03841000 2.91604400 -1.59025800
-40.01793000 2.46742200 -1.60795900
-39.99745000 1.57017700 -1.62559900
-39.97697000 2.46742200 -1.59025800
-39.95649000 2.01879900 -1.60795900
-39.93600000 2.91604400 -1.59025800
-39.91553000 3.36466600 -1.57261900
-39.89505000 2.91604400 -1.59025800
-39.87457000 2.91604400 -1.59025800
-39.85409000 2.91604400 -1.59025800
-39.83361000 2.91604400 -1.60795900
-39.81313000 1.57017700 -1.60795900
-39.79265000 2.46742200 -1.59025800
-39.77217000 3.36466600 -1.55497900
-39.75169000 2.91604400 -1.59025800
-39.73121000 3.36466600 -1.57261900
-39.71073000 2.91604400 -1.59025800
-39.69025000 2.91604400 -1.59025800
-39.66977000 2.46742200 -1.59025800
-39.64929000 2.91604400 -1.59025800
-39.62881000 1.57017700 -1.60795900
-39.60833000 2.91604400 -1.59025800
-39.58785000 2.91604400 -1.57261900
-39.56737000 2.46742200 -1.59025800
-39.54689000 3.36466600 -1.57261900
-39.52641000 2.91604400 -1.59025800
-39.50593000 2.46742200 -1.59025800
-39.48545000 2.01879900 -1.60795900
-39.46497000 2.91604400 -1.59025800
-39.44449000 2.46742200 -1.55497900
-39.42401000 2.46742200 -1.57261900
-39.40353000 3.36466600 1.62254700
-39.38305000 2.91604400 1.58720700
-39.36257000 2.91604400 1.58720700
-39.34209000 2.91604400 1.60484600
-39.32161000 4.71053200 1.58720700
-39.30113000 3.81328800 1.58720700
-39.28065000 4.71053200 1.58720700
-39.26017000 5.15915400 1.64018700
-39.23969000 4.26191000 1.62254700
-39.21921000 4.71053200 1.62254700
-39.19873000 4.26191000 1.58720700
-39.17825000 4.26191000 1.58720700
-39.15777000 2.91604400 1.56956700
-39.13729000 3.36466600 1.58720700
-39.11681000 2.91604400 1.58720700
-39.09633000 3.36466600 1.62254700
-39.07585000 3.81328800 1.62254700
-39.05537000 3.36466600 1.62254700
-39.03489000 3.81328800 1.62254700
-39.01441000 3.36466600 1.60484600
-38.99393000 3.36466600 1.58720700
-38.97345000 2.46742200 1.58720700
-38.95297000 2.91604400 1.60484600
-38.93249000 3.36466600 1.62254700
-38.91201000 3.36466600 1.58720700
-38.89153000 3.36466600 1.62254700
-38.87105000 2.91604400 1.60484600
-38.85057000 3.36466600 1.58720700
-38.83009000 2.91604400 1.60484600
-38.80961000 2.91604400 1.58720700
-38.78913000 2.46742200 1.58720700
-38.76865000 2.91604400 1.62254700
-38.74817000 3.36466600 1.62254700
-38.72768000 2.91604400 1.60484600
-38.70721000 3.36466600 1.62254700
-38.68673000 2.91604400 1.60484600
-38.66625000 2.91604400 1.58720700
-38.64577000 1.57017700 1.56956700
-38.62529000 2.91604400 1.58720700
-38.60481000 2.46742200 1.60484600
-38.58433000 2.91604400 1.58720700
-38.56385000 3.36466600 1.62254700
-38.54337000 2.91604400 1.58720700
-38.52289000 3.36466600 1.58720700
-38.50241000 2.91604400 1.58720700
-38.48193000 2.91604400 1.58720700
-38.46145000 1.57017700 1.58720700
-38.44097000 2.91604400 1.58720700
-38.42049000 3.36466600 1.62254700
-38.40001000 2.46742200 1.58720700
-38.37953000 3.36466600 1.62254700
-38.35905000 2.91604400 1.58720700
-38.33857000 2.91604400 1.58720700
-38.31808000 3.36466600 1.58720700
-38.29761000 2.46742200 1.58720700
-38.27713000 1.57017700 1.58720700
-38.25665000 2.91604400 1.58720700
-38.23617000 2.91604400 1.62254700
-38.21569000 2.91604400 1.58720700
-38.19521000 3.36466600 1.60484600
-38.17472000 2.46742200 -1.59025800
-38.15425000 2.46742200 -1.60795900
-38.13377000 1.57017700 -1.62559900
-38.11329000 2.46742200 -1.60795900
-38.09281000 2.46742200 -1.59025800
-38.07233000 2.91604400 -1.60795900
-38.05185000 3.36466600 -1.59025800
-38.03137000 2.46742200 -1.60795900
-38.01089000 2.91604400 -1.60795900
-37.99041000 2.91604400 -1.59025800
-37.96993000 2.46742200 -1.60795900
-37.94945000 1.57017700 -1.60795900
-37.92897000 2.91604400 -1.60795900
-37.90849000 3.36466600 -1.57261900
-37.88801000 2.46742200 -1.60795900
-37.86753000 3.36466600 -1.57261900
-37.84705000 2.46742200 -1.59025800
-37.82657000 2.91604400 -1.60795900
-37.80609000 2.46742200 -1.62559900
-37.78561000 2.46742200 -1.60795900
-37.76513000 2.01879900 -1.60795900
-37.74465000 2.91604400 -1.59025800
-37.72417000 2.91604400 -1.57261900
-37.70369000 2.91604400 -1.59025800
-37.68321000 3.36466600 -1.59025800
-37.66273000 2.46742200 -1.59025800
-37.64225000 2.46742200 -1.60795900
-37.62177000 2.01879900 -1.60795900
-37.60129000 2.46742200 -1.59025800
-37.58081000 2.91604400 -1.55497900
-37.56033000 2.46742200 -1.59025800
-37.53985000 3.36466600 -1.57261900
-37.51937000 2.46742200 -1.60795900
-37.49889000 2.91604400 -1.60795900
-37.47840000 2.91604400 -1.59025800
-37.45793000 2.46742200 -1.59025800
-37.43745000 1.57017700 -1.60795900
-37.41697000 2.91604400 -1.59025800
-37.39649000 2.91604400 -1.57261900
-37.37601000 2.91604400 -1.59025800
-37.35553000 2.91604400 -1.59025800
-37.33505000 2.91604400 -1.59025800
-37.31457000 2.46742200 -1.60795900
-37.29409000 1.57017700 -1.62559900
-37.27361000 2.46742200 -1.60795900
-37.25313000 2.01879900 -1.59025800
-37.23265000 2.91604400 -1.59025800
-37.21217000 3.36466600 -1.55497900
-37.19169000 2.46742200 -1.59025800
-37.17121000 2.91604400 -1.59025800
-37.15073000 2.91604400 -1.59025800
-37.13025000 2.46742200 -1.60795900
-37.10977000 1.57017700 -1.60795900
-37.08929000 2.46742200 -1.59025800
-37.06881000 2.91604400 -1.55497900
-37.04833000 2.46742200 -1.59025800
-37.02785000 3.36466600 -1.57261900
-37.00737000 2.46742200 -1.59025800
-36.98689000 2.91604400 -1.59025800
-36.96640000 2.46742200 -1.59025800
-36.94593000 2.46742200 1.58720700
-36.92545000 2.01879900 1.56956700
-36.90497000 2.91604400 1.58720700
-36.88449000 2.91604400 1.62254700
-36.86401000 2.91604400 1.58720700
-36.84353000 19.06949000 1.62254700
-36.82305000 17.27500000 1.58720700
-36.80257000 16.37776000 1.58720700
-36.78209000 14.58327000 1.56956700
-36.76161000 14.13465000 1.58720700
-36.74113000 12.78726000 1.58720700
-36.72065000 12.33863000 1.60484600
-36.70017000 12.33863000 1.62254700
-36.67969000 10.54414000 1.60484600
-36.65921000 10.54414000 1.62254700
-36.63873000 9.64690000 1.58720700
-36.61825000 8.74965700 1.58720700
-36.59777000 7.85088700 1.58720700
-36.57729000 8.30103400 1.60484600
-36.55680000 8.30103400 1.64018700
-36.53633000 7.40226500 1.60484600
-36.51585000 7.85088700 1.62254700
-36.49537000 6.50502000 1.60484600
-36.47489000 6.05639800 1.58720700
-36.45441000 5.60777600 1.58720700
-36.43393000 5.15915400 1.58720700
