Kommentar: 
Zeit: 24.10.2011	12:12
Startenergie: 850
Endenergie: 1060
Energieschritt: 0
Sensitivity: 300 mV
TC: 100 ms
Phase: Phase: 130
1019.2	1930
1019.3	1938
1019.4	1934
1019.5	1932
1019.6	1936
1019.7	1915
1019.8	1888
1019.9	1874
1020	1844
1020.1	1792
1020.2	1781
1020.3	1766
1020.4	1689
1020.5	1602
1020.6	1584
1020.7	1575
1020.8	1462
1020.9	1439
1021	1359
1021.1	1289
1021.2	1276
1021.3	1211
1021.4	1055
1021.5	1060
1021.6	1052
1021.7	938
1021.8	877
1021.9	858
1022	749
1022.1	686
1022.2	680
1022.3	641
1022.4	532
1022.5	530
1022.6	514
1022.7	401
1022.8	385
1022.9	400
1023	343
1023.1	282
1023.2	277
1023.3	184
1023.4	105
1023.5	95
1023.6	22
1023.7	-98
1023.8	-93
1023.9	-185
1024	-321
1024.1	-332
1024.2	-399
1024.3	-536
1024.4	-556
1024.5	-590
1024.6	-567
1024.7	-730
1024.8	-766
1024.9	-798
1025	-922
1025.1	-905
1025.2	-941
1025.3	-1011
1025.4	-998
1025.5	-1020
1025.6	-1081
1025.7	-1079
1025.8	-1115
1025.9	-1137
1026	-1185
1026.1	-1176
1026.2	-1184
1026.3	-1294
1026.4	-1302
1026.5	-1331
1026.6	-1424
1026.7	-1434
1026.8	-1451
1026.9	-1559
1027	-1593
1027.1	-1568
1027.2	-1611
1027.3	-1691
1027.4	-1711
1027.5	-1714
1027.6	-1780
1027.7	-1764
1027.8	-1775
1027.9	-1801
1028	-1797
1028.1	-1767
1028.2	-1754
1028.3	-1764
1028.4	-1759
1028.5	-1741
1028.6	-1714
1028.7	-1718
1028.8	-1693
1028.9	-1644
1029	-1645
1029.1	-1621
1029.2	-1566
1029.3	-1566
1029.4	-1539
1029.5	-1482
1029.6	-1461
1029.7	-1422
1029.8	-1335
1029.9	-1320
1030	-1308
1030.1	-1252
1030.2	-1150
1030.3	-1134
1030.4	-1018
1030.5	-847
1030.6	-809
1030.7	-669
1030.8	-476
1030.9	-443
1031	-370
1031.1	-44
1031.2	16
1031.3	-16
1031.4	160
1031.5	436
1031.6	481
1031.7	619
1031.8	886
1031.9	935
1032	1158
1032.1	1336
1032.2	1331
1032.3	1378
1032.4	1626
1032.5	1699
1032.6	1813
1032.7	1952
1032.8	1984
1032.9	1996
1033	2092
1033.1	2309
1033.2	2331
1033.3	2508
1033.4	2722
1033.5	2783
1033.6	2980
1033.7	3250
1033.8	3300
1033.9	3513
1034	3833
1034.1	3883
1034.2	3887
1034.3	3964
1034.4	4371
1034.5	4449
1034.6	4609
1034.7	4885
1034.8	4928
1034.9	5011
1035	5165
1035.1	5209
1035.2	5231
1035.3	5232
1035.4	5221
1035.5	5195
1035.6	5103
1035.7	5003
1035.8	4945
1035.9	4715
1036	4529
1036.1	4542
1036.2	4425
1036.3	4071
1036.4	3944
1036.5	3820
1036.6	3480
1036.7	3420
1036.8	3219
1036.9	2895
1037	2841
1037.1	2830
1037.2	2713
1037.3	2472
1037.4	2422
1037.5	2208
1037.6	2084
1037.7	2088
1037.8	1930
1037.9	1742
1038	1734
1038.1	1503
1038.2	1188
1038.3	1149
1038.4	1142
1038.5	1025
1038.6	474
1038.7	338
1038.8	244
1038.9	-431
1039	-580
1039.1	-692
1039.2	-1444
1039.3	-1601
1039.4	-1745
1039.5	-2483
1039.6	-2564
1039.7	-2578
1039.8	-2995
1039.9	-3500
1040	-3576
1040.1	-3760
1040.2	-4349
1040.3	-4522
1040.4	-4723
1040.5	-5269
1040.6	-5444
1040.7	-5532
1040.8	-6063
1040.9	-6222
1041	-6441
1041.1	-6863
1041.2	-6909
1041.3	-6897
1041.4	-6947
1041.5	-7204
1041.6	-7255
1041.7	-7369
1041.8	-7554
1041.9	-7610
1042	-7616
1042.1	-7838
1042.2	-7921
1042.3	-8209
1042.4	-8392
1042.5	-8430
1042.6	-8460
1042.7	-8553
1042.8	-8931
1042.9	-9023
1043	-9491
1043.1	-9668
1043.2	-9700
1043.3	-9887
1043.4	-10352
1043.5	-10451
1043.6	-10528
1043.7	-11004
1043.8	-11115
1043.9	-11140
1044	-11228
1044.1	-11453
1044.2	-11494
1044.3	-11527
1044.4	-11590
1044.5	-11585
1044.6	-11523
1044.7	-11344
1044.8	-11301
1044.9	-11280
1045	-10745
1045.1	-10620
1045.2	-10349
1045.3	-9743
1045.4	-9680
1045.5	-9651
1045.6	-9618
1045.7	-8812
1045.8	-8649
1045.9	-8265
1046	-7686
1046.1	-7522
1046.2	-7373
1046.3	-6635
1046.4	-6479
1046.5	-6289
1046.6	-5680
1046.7	-5464
1046.8	-5429
1046.9	-5151
1047	-4604
1047.1	-4468
1047.2	-4396
1047.3	-3733
1047.4	-3549
1047.5	-3319
1047.6	-2792
1047.7	-2630
1047.8	-2496
1047.9	-2034
1048	-1899
1048.1	-1863
1048.2	-1844
1048.3	-1452
1048.4	-1344
1048.5	-1255
1048.6	-979
1048.7	-904
1048.8	-879
1048.9	-673
1049	-589
1049.1	-570
1049.2	-438
1049.3	-383
1049.4	-343
1049.5	-262
1049.6	-236
1049.7	-236
1049.8	-209
1049.9	-158
1050	-141
1050.1	-131
1050.2	-82
1050.3	-74
1050.4	-59
1050.5	-39
1050.6	-35
1050.7	-30
1050.8	-18
1050.9	-14
1051	-16
1051.1	-11
1051.2	-7
1051.3	-5
1051.4	-3
1051.5	-2
1051.6	-1
1051.7	-1
1051.8	0
1051.9	1
1052	1
1052.1	1
1052.2	1
1052.3	1
1052.4	0
1052.5	0
1052.6	1
1052.7	0
1052.8	2
1052.9	1
1053	2
1053.1	3
1053.2	1
1053.3	0
1053.4	1
1053.5	0
1053.6	0
1053.7	0
1053.8	2
1053.9	1
1054	1
1054.1	2
1054.2	0
1054.3	0
1054.4	1
1054.5	2
1054.6	0
1054.7	0
1054.8	3
1054.9	2
1055	0
1055.1	0
1055.2	1
1055.3	3
1055.4	2
1055.5	1
1055.6	2
1055.7	1
1055.8	0
1055.9	3
1056	3
1056.1	3
1056.2	1
1056.3	2
1056.4	1
1056.5	0
1056.6	0
1056.7	0
1056.8	1
1056.9	3
1057	3
1057.1	2
1057.2	4
1057.3	2
1057.4	2
1057.5	2
1057.6	2
1057.7	3
1057.8	2
1057.9	0
1058	2
1058.1	2
1058.2	2
1058.3	1
1058.4	1
1058.5	2
1058.6	0
1058.7	3
1058.8	2
1058.9	1
1059	2
1059.1	2
1059.2	1
1059.3	1
1059.4	0
1059.5	2
1059.6	4
1059.7	3
1059.8	1
1059.9	1
1060	3
